Feature,LightGBM_Gain,XGBoost_Gain,CatBoost_Gain,Abs_Correlation,LGBM_Norm,XGB_Norm,CB_Norm,Corr_Norm,Tree_Score,NN_Score,Combined_Score
GRP_InternetService_TotalCharges_std,0.0,0.0,0.01634385572510172,0.3579577044010701,0.0,0.0,0.0021847830012589535,0.6149516917444144,0.0007282610004196512,0.6149516917444144,0.18499529022361808
tenure_cubed,426.1936287879944,4.5763113303110006e-05,0.14173189194366007,0.34871795870758837,0.0003267171655218174,0.0001210504865574566,0.01894616750557813,0.5990783157124562,0.006464645052552468,0.5990783157124562,0.1842487462505236
ORIG_prob_PaperlessBilling,317.90056347846985,0.001992310269270092,1.126053279723642,0.2851069154490237,0.00024370043098213492,0.00526996766743517,0.15052641833307634,0.4897980343145947,0.05201336214383121,0.4897980343145947,0.18334876379506027
GRP_PaymentMethod_MonthlyCharges_mean,1636.4012434482574,0.0014098694082349539,0.06781020715757632,0.3455205416658096,0.0012544541724760119,0.00372932183872456,0.009064604485108358,0.5935853287062282,0.004682793498769644,0.5935853287062282,0.1813535540610072
monthly_to_total_ratio,3363.959985613823,0.0007418726570904254,0.2454666014425911,0.33440109881740937,0.002578789069545851,0.0019623674969326483,0.03281301959762875,0.5744827361183129,0.012451392054702417,0.5744827361183129,0.18106079527378557
ORIG_prob_DeviceProtection,129.15760822296141,0.0006023735273629427,0.01269247647475814,0.34865269549059663,9.901135261966642e-05,0.0015933708026735197,0.0016966808391083105,0.5989661970872546,0.001129687664800499,0.5989661970872546,0.18048064049153673
WoE_OnlineBackup,686.809963798523,0.0011227298760786652,0.05117935191499976,0.34384898906245254,0.0005265038927553214,0.002969793529381212,0.006841456505738057,0.5907136930670565,0.0034459179759581964,0.5907136930670565,0.17962625050328768
GRP_InternetService_TotalCharges_mean,0.0,0.0,0.02063991271080921,0.3456028190438061,0.0,0.0,0.0027590631731279503,0.5937266767263131,0.0009196877243759834,0.5937266767263131,0.1787617844249571
FREQ_DeviceProtection,89.21418118476868,0.000642556301318109,0.01691237244555436,0.3428007344743653,6.839099046113791e-05,0.0016996604317528116,0.0022607801030241604,0.5889128492120494,0.0013429438417460367,0.5889128492120494,0.17761391545283706
COUNT_DeviceProtection,69.49911293983459,0.0,0.025234903479137132,0.3428007344743652,5.327755192060499e-05,0.0,0.003373303649208889,0.5889128492120493,0.0011421937337098315,0.5889128492120493,0.1774733903772117
TechSupport,148.5787884712219,0.0005454396945424378,0.014937951937343642,0.3425499668767886,0.00011389949860121122,0.0014427720416396051,0.001996847256563048,0.5884820442413268,0.0011845062656012882,0.5884820442413268,0.17737376765831894
GRP_Contract_Artifact_Diff_median,248.69753756523133,0.0006243811687454582,0.0030204122150747957,0.34034831123894027,0.00019064985738204672,0.0016515844053995926,0.0004037569454406846,0.584699720680506,0.0007486637360741079,0.584699720680506,0.17593398081940367
WoE_DeviceProtection,307.1129368782043,0.0005968437646515668,0.03277176134922543,0.33019843317397124,0.0002354307090823274,0.0015787437281926879,0.004380801465784922,0.5672627871816287,0.002064991967686646,0.5672627871816287,0.17162433053186926
is_long_term,0.0,0.0,0.04637644673461513,0.32531872583468463,0.0,0.0,0.006199422840533416,0.5588797177669536,0.0020664742801778054,0.5588797177669536,0.16911044732621053
GRP_PaymentMethod_Artifact_Diff_median,40.5221625328064,0.0,0.0015306561699152542,0.31541200980704814,3.1064016891061134e-05,0.0,0.0002046121574401117,0.5418605233036863,7.855872477705761e-05,0.5418605233036863,0.16261314809844982
total_per_service,5565.733859109879,0.0007479261606931686,0.2714928487292478,0.293846832936475,0.004266654092573825,0.0019783799467770423,0.0362921070060619,0.5048127329187426,0.014179047015137588,0.5048127329187426,0.16136915278621908
FREQ_PaperlessBilling,319.3505040645599,0.00011438154615461826,0.40593888005670964,0.28510691544902367,0.0002448119456704458,0.00030255681521278334,0.05426432903074814,0.48979803431459457,0.01827056593054379,0.48979803431459457,0.15972880644575904
GRP_InternetService_TotalCharges_median,24.393400573730467,0.0,0.15816573062295453,0.2907877762959372,1.8699816596394872e-05,0.0,0.02114297907781997,0.49955744148874465,0.007053892964805454,0.49955744148874465,0.15480495752198722
COUNT_PaperlessBilling,499.586669254303,0.0,0.23634239122613726,0.28510691544902644,0.00038297977605959336,0.0,0.03159333069948182,0.48979803431459934,0.010658770158513804,0.48979803431459934,0.15440054940533945
log_monthly,418.0478542327881,0.0009803792869206517,0.11681458470180237,0.2893812281970236,0.00032047266960754224,0.0025932542855324533,0.015615318884860849,0.49714106904498334,0.006176348613333615,0.49714106904498334,0.15346576474282853
WoE_PaperlessBilling,2774.629288339615,0.002861404744908214,0.1359483570959014,0.28510691544902367,0.0021270121260096894,0.007568856478683129,0.018173047084356762,0.48979803431459457,0.009289638563016527,0.48979803431459457,0.15344215728848995
GRP_PaymentMethod_tenure_diff,4425.27491414547,0.0006899243337102235,0.3221727941014199,0.2746156836785348,0.0033923859460686977,0.001824956176610825,0.04306680478951073,0.4717746738828374,0.016094715637396752,0.4717746738828374,0.15279870311102894
GRP_Partner_MonthlyCharges_diff,7284.471579837799,0.0011889297049492598,0.14050117958723837,0.283573805674441,0.0055842268540169295,0.003144902277812042,0.018781650669344695,0.48716423585763174,0.009170259933724556,0.48716423585763174,0.1525684527108967
ORIG_MonthlyCharges_std_diff,849.1746096611023,0.0,0.3626934851856626,0.2729972791410078,0.0006509715367884597,0.0,0.048483453013108996,0.46899434370404075,0.016378141516632486,0.46899434370404075,0.15216300217285497
